time,temp,prcp
2023-01-01,21.4,1.6
2023-01-02,22.4,0.8
2023-01-03,21.8,2.2
2023-01-04,21.8,4.0
2023-01-05,22.2,0.9
2023-01-06,23.0,0.6
2023-01-07,23.0,1.3
2023-01-08,22.5,2.5
2023-01-09,22.3,3.2
2023-01-10,22.4,0.7
2023-01-11,22.6,1.0
2023-01-12,23.1,0.4
2023-01-13,22.7,0.4
2023-01-14,22.6,0.4
2023-01-15,23.1,1.1
2023-01-16,23.3,0.8
2023-01-17,22.4,1.4
2023-01-18,21.6,9.0
2023-01-19,22.1,13.5
2023-01-20,21.8,3.5
2023-01-21,22.3,3.3
2023-01-22,22.2,3.4
2023-01-23,22.4,3.5
2023-01-24,22.6,0.3
2023-01-25,21.5,9.0
2023-01-26,22.5,4.5
2023-01-27,22.2,8.4
2023-01-28,21.4,8.6
2023-01-29,21.5,4.3
2023-01-30,22.1,2.1
2023-01-31,22.7,0.2
2023-02-01,22.1,4.4
2023-02-02,21.8,3.4
2023-02-03,21.9,2.4
2023-02-04,22.8,0.8
2023-02-05,23.1,0.0
2023-02-06,23.1,0.0
2023-02-07,22.2,15.7
2023-02-08,22.5,4.0
2023-02-09,22.1,4.5
2023-02-10,22.2,15.9
2023-02-11,21.7,8.2
2023-02-12,20.9,24.7
2023-02-13,22.2,4.1
2023-02-14,21.5,7.3
2023-02-15,22.7,1.2
2023-02-16,21.8,6.7
2023-02-17,21.9,5.8
2023-02-18,22.2,2.8
2023-02-19,22.6,3.8
2023-02-20,22.2,1.8
2023-02-21,22.1,6.3
2023-02-22,21.7,4.1
2023-02-23,21.8,4.5
2023-02-24,21.2,10.2
2023-02-25,21.7,6.5
2023-02-26,21.7,4.1
2023-02-27,21.3,3.8
2023-02-28,21.1,18.7
2023-03-01,21.7,3.5
2023-03-02,20.6,22.0
2023-03-03,22.0,1.6
2023-03-04,22.0,3.6
2023-03-05,22.4,1.7
2023-03-06,22.8,5.1
2023-03-07,22.9,1.5
2023-03-08,22.2,4.3
2023-03-09,22.4,56.8
2023-03-10,21.8,13.6
2023-03-11,23.0,2.8
2023-03-12,22.8,0.0
2023-03-13,22.7,0.0
2023-03-14,22.6,2.2
2023-03-15,22.1,6.6
2023-03-16,22.4,2.5
2023-03-17,21.8,13.3
2023-03-18,22.6,1.4
2023-03-19,22.5,5.8
2023-03-20,21.6,28.2
2023-03-21,22.9,4.7
2023-03-22,22.8,12.1
2023-03-23,23.2,11.5
2023-03-24,23.3,4.6
2023-03-25,22.3,20.8
2023-03-26,22.5,10.3
2023-03-27,22.1,1.5
2023-03-28,22.6,2.1
2023-03-29,22.6,2.6
2023-03-30,22.7,6.3
2023-03-31,22.7,0.1
2023-04-01,22.0,4.5
2023-04-02,22.0,0.2
2023-04-03,22.4,2.3
2023-04-04,22.6,0.3
2023-04-05,22.8,0.0
2023-04-06,23.2,0.0
2023-04-07,22.3,0.8
2023-04-08,23.1,0.0
2023-04-09,22.6,0.2
2023-04-10,22.5,0.7
2023-04-11,22.8,2.0
2023-04-12,22.7,5.7
2023-04-13,22.7,3.5
2023-04-14,22.4,3.3
2023-04-15,22.6,7.0
2023-04-16,22.9,3.1
2023-04-17,23.5,0.7
2023-04-18,23.2,5.8
2023-04-19,23.2,5.6
2023-04-20,23.0,0.9
2023-04-21,22.7,7.1
2023-04-22,22.6,2.6
2023-04-23,22.5,3.1
2023-04-24,22.5,12.6
2023-04-25,22.4,15.5
2023-04-26,22.4,6.5
2023-04-27,23.1,1.5
2023-04-28,23.1,9.2
2023-04-29,23.0,1.1
2023-04-30,23.6,4.7
2023-05-01,23.4,4.5
2023-05-02,23.5,4.0
2023-05-03,23.0,9.2
2023-05-04,22.8,43.6
2023-05-05,23.3,41.0
2023-05-06,22.5,24.0
2023-05-07,22.9,22.1
2023-05-08,22.6,16.3
2023-05-09,23.3,0.9
2023-05-10,22.8,1.7
2023-05-11,23.4,0.3
2023-05-12,24.0,0.7
2023-05-13,22.9,6.8
2023-05-14,22.5,0.0
2023-05-15,22.2,3.3
2023-05-16,22.9,1.4
2023-05-17,22.8,5.2
2023-05-18,22.6,4.2
2023-05-19,22.7,7.7
2023-05-20,23.0,1.3
2023-05-21,23.1,0.0
2023-05-22,22.7,0.0
2023-05-23,22.7,0.3
2023-05-24,22.8,0.8
2023-05-25,22.9,0.0
2023-05-26,22.8,0.2
2023-05-27,23.0,1.9
2023-05-28,23.3,2.2
2023-05-29,23.2,0.5
2023-05-30,23.5,0.1
2023-05-31,23.2,0.0
2023-06-01,23.1,0.4
2023-06-02,23.6,0.0
2023-06-03,23.8,0.1
2023-06-04,23.7,1.0
2023-06-05,23.3,2.2
2023-06-06,22.4,23.7
2023-06-07,22.9,2.3
2023-06-08,22.8,3.0
2023-06-09,22.3,4.3
2023-06-10,22.8,0.0
2023-06-11,22.6,0.0
