id,kode_provinsi,nama_provinsi,jenis_hotel,kode_bulan,bulan,tingkat_penghunian_kamar,satuan,tahun
1,32,JAWA BARAT,HOTEL BINTANG 1,1,JANUARI,33.67,PERSEN,2024
2,32,JAWA BARAT,HOTEL BINTANG 2,1,JANUARI,42.21,PERSEN,2024
3,32,JAWA BARAT,HOTEL BINTANG 3,1,JANUARI,45.76,PERSEN,2024
4,32,JAWA BARAT,HOTEL BINTANG 4,1,JANUARI,49.77,PERSEN,2024
5,32,JAWA BARAT,HOTEL BINTANG 5,1,JANUARI,49.54,PERSEN,2024
6,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,1,JANUARI,12.13,PERSEN,2024
7,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,1,JANUARI,24.37,PERSEN,2024
8,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,1,JANUARI,25.31,PERSEN,2024
9,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,1,JANUARI,19.65,PERSEN,2024
10,32,JAWA BARAT,HOTEL BINTANG 1,2,FEBRUARI,30.0,PERSEN,2024
11,32,JAWA BARAT,HOTEL BINTANG 2,2,FEBRUARI,45.65,PERSEN,2024
12,32,JAWA BARAT,HOTEL BINTANG 3,2,FEBRUARI,46.7,PERSEN,2024
13,32,JAWA BARAT,HOTEL BINTANG 4,2,FEBRUARI,54.84,PERSEN,2024
14,32,JAWA BARAT,HOTEL BINTANG 5,2,FEBRUARI,63.31,PERSEN,2024
15,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,2,FEBRUARI,16.25,PERSEN,2024
16,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,2,FEBRUARI,25.99,PERSEN,2024
17,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,2,FEBRUARI,28.71,PERSEN,2024
18,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,2,FEBRUARI,22.94,PERSEN,2024
19,32,JAWA BARAT,HOTEL BINTANG 1,3,MARET,24.12,PERSEN,2024
20,32,JAWA BARAT,HOTEL BINTANG 2,3,MARET,40.88,PERSEN,2024
21,32,JAWA BARAT,HOTEL BINTANG 3,3,MARET,38.48,PERSEN,2024
22,32,JAWA BARAT,HOTEL BINTANG 4,3,MARET,43.91,PERSEN,2024
23,32,JAWA BARAT,HOTEL BINTANG 5,3,MARET,51.98,PERSEN,2024
24,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,3,MARET,10.31,PERSEN,2024
25,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,3,MARET,17.48,PERSEN,2024
26,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,3,MARET,21.27,PERSEN,2024
27,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,3,MARET,15.51,PERSEN,2024
28,32,JAWA BARAT,HOTEL BINTANG 1,4,APRIL,29.27,PERSEN,2024
29,32,JAWA BARAT,HOTEL BINTANG 2,4,APRIL,46.45,PERSEN,2024
30,32,JAWA BARAT,HOTEL BINTANG 3,4,APRIL,45.38,PERSEN,2024
31,32,JAWA BARAT,HOTEL BINTANG 4,4,APRIL,49.61,PERSEN,2024
32,32,JAWA BARAT,HOTEL BINTANG 5,4,APRIL,51.59,PERSEN,2024
33,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,4,APRIL,19.39,PERSEN,2024
34,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,4,APRIL,24.19,PERSEN,2024
35,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,4,APRIL,25.94,PERSEN,2024
36,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,4,APRIL,20.87,PERSEN,2024
37,32,JAWA BARAT,HOTEL BINTANG 1,5,MEI,29.78,PERSEN,2024
38,32,JAWA BARAT,HOTEL BINTANG 2,5,MEI,51.92,PERSEN,2024
39,32,JAWA BARAT,HOTEL BINTANG 3,5,MEI,49.7,PERSEN,2024
40,32,JAWA BARAT,HOTEL BINTANG 4,5,MEI,57.32,PERSEN,2024
41,32,JAWA BARAT,HOTEL BINTANG 5,5,MEI,64.73,PERSEN,2024
42,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,5,MEI,18.38,PERSEN,2024
43,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,5,MEI,24.85,PERSEN,2024
44,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,5,MEI,26.85,PERSEN,2024
45,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,5,MEI,21.32,PERSEN,2024
46,32,JAWA BARAT,HOTEL BINTANG 1,6,JUNI,31.99,PERSEN,2024
47,32,JAWA BARAT,HOTEL BINTANG 2,6,JUNI,53.14,PERSEN,2024
48,32,JAWA BARAT,HOTEL BINTANG 3,6,JUNI,51.7,PERSEN,2024
49,32,JAWA BARAT,HOTEL BINTANG 4,6,JUNI,59.72,PERSEN,2024
50,32,JAWA BARAT,HOTEL BINTANG 5,6,JUNI,69.17,PERSEN,2024
51,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,6,JUNI,19.56,PERSEN,2024
52,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,6,JUNI,24.75,PERSEN,2024
53,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,6,JUNI,27.28,PERSEN,2024
54,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,6,JUNI,21.53,PERSEN,2024
55,32,JAWA BARAT,HOTEL BINTANG 1,7,JULI,31.25,PERSEN,2024
56,32,JAWA BARAT,HOTEL BINTANG 2,7,JULI,54.24,PERSEN,2024
57,32,JAWA BARAT,HOTEL BINTANG 3,7,JULI,53.85,PERSEN,2024
58,32,JAWA BARAT,HOTEL BINTANG 4,7,JULI,62.09,PERSEN,2024
59,32,JAWA BARAT,HOTEL BINTANG 5,7,JULI,65.98,PERSEN,2024
60,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,7,JULI,17.85,PERSEN,2024
61,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,7,JULI,25.04,PERSEN,2024
62,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,7,JULI,27.67,PERSEN,2024
63,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,7,JULI,22.44,PERSEN,2024
64,32,JAWA BARAT,HOTEL BINTANG 1,8,AGUSTUS,32.96,PERSEN,2024
65,32,JAWA BARAT,HOTEL BINTANG 2,8,AGUSTUS,49.26,PERSEN,2024
66,32,JAWA BARAT,HOTEL BINTANG 3,8,AGUSTUS,48.62,PERSEN,2024
67,32,JAWA BARAT,HOTEL BINTANG 4,8,AGUSTUS,55.98,PERSEN,2024
68,32,JAWA BARAT,HOTEL BINTANG 5,8,AGUSTUS,64.45,PERSEN,2024
69,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,8,AGUSTUS,17.29,PERSEN,2024
70,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,8,AGUSTUS,23.73,PERSEN,2024
71,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,8,AGUSTUS,27.02,PERSEN,2024
72,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,8,AGUSTUS,20.8,PERSEN,2024
73,32,JAWA BARAT,HOTEL BINTANG 1,9,SEPTEMBER,33.84,PERSEN,2024
74,32,JAWA BARAT,HOTEL BINTANG 2,9,SEPTEMBER,50.83,PERSEN,2024
75,32,JAWA BARAT,HOTEL BINTANG 3,9,SEPTEMBER,49.73,PERSEN,2024
76,32,JAWA BARAT,HOTEL BINTANG 4,9,SEPTEMBER,57.08,PERSEN,2024
77,32,JAWA BARAT,HOTEL BINTANG 5,9,SEPTEMBER,59.86,PERSEN,2024
78,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,9,SEPTEMBER,17.92,PERSEN,2024
79,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,9,SEPTEMBER,24.44,PERSEN,2024
80,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,9,SEPTEMBER,27.8,PERSEN,2024
81,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,9,SEPTEMBER,20.42,PERSEN,2024
82,32,JAWA BARAT,HOTEL BINTANG 1,10,OKTOBER,31.73,PERSEN,2024
83,32,JAWA BARAT,HOTEL BINTANG 2,10,OKTOBER,52.34,PERSEN,2024
84,32,JAWA BARAT,HOTEL BINTANG 3,10,OKTOBER,49.26,PERSEN,2024
85,32,JAWA BARAT,HOTEL BINTANG 4,10,OKTOBER,61.55,PERSEN,2024
86,32,JAWA BARAT,HOTEL BINTANG 5,10,OKTOBER,63.45,PERSEN,2024
87,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,10,OKTOBER,13.89,PERSEN,2024
88,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 10-24,10,OKTOBER,23.19,PERSEN,2024
89,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR 25-40,10,OKTOBER,28.11,PERSEN,2024
90,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR >40,10,OKTOBER,21.03,PERSEN,2024
91,32,JAWA BARAT,HOTEL BINTANG 1,11,NOVEMBER,31.57,PERSEN,2024
92,32,JAWA BARAT,HOTEL BINTANG 2,11,NOVEMBER,53.4,PERSEN,2024
93,32,JAWA BARAT,HOTEL BINTANG 3,11,NOVEMBER,48.78,PERSEN,2024
94,32,JAWA BARAT,HOTEL BINTANG 4,11,NOVEMBER,59.3,PERSEN,2024
95,32,JAWA BARAT,HOTEL BINTANG 5,11,NOVEMBER,62.26,PERSEN,2024
96,32,JAWA BARAT,HOTEL NONBINTANG; KAMAR <10,11,NOVEMBER,17.48,PERSEN,2024
